feature_index	feature_index	vector	max_distance	v_gene	j_gene	cdr3_aa_length
0	188	[0.04993964359164238, -0.03027299977838993, -0.6202905178070068, 0.9902466535568237, 0.009227979928255081, 0.006432781461626291, 0.2942698001861572, -0.20478098094463348, 0.006793610751628876, 0.46020811796188354]	0.15	IGKV1	IGKJ1	4.0
1	223	[-0.3390742540359497, -0.5268728733062744, -0.5639737248420715, 0.8889051675796509, -0.5074701309204102, 0.4906836450099945, 0.6398297548294067, -0.23429527878761292, 0.19986951351165771, 0.07418442517518997]	0.15	IGKV1	IGKJ1	4.0
2	224	[-0.09252952039241791, 0.5560914278030396, 0.176503986120224, 1.2825348377227783, 0.1554802507162094, 0.48633113503456116, 0.09331612288951874, 0.14991888403892517, 0.4706571698188782, 0.0244237519800663]	0.15	IGKV1	IGKJ1	4.0
3	257	[0.2453867346048355, -0.19300496578216553, 0.21571935713291168, 0.8452998399734497, 0.5103893876075745, -0.12644530832767487, 0.44079726934432983, 0.3003118932247162, 0.9430608153343201, 0.18270739912986755]	0.15	IGKV1	IGKJ1	4.0
4	488	[0.04854225739836693, -0.27909165620803833, 0.0324237160384655, 1.0438308715820312, 0.2535855174064636, 0.481328547000885, 0.2697222828865051, 0.47527557611465454, 0.10725457966327667, 0.32833388447761536]	0.15	IGKV1	IGKJ1	5.0
5	521	[-0.009662487544119358, -0.47688043117523193, -0.15800417959690094, 0.9995577931404114, 0.37546825408935547, -0.10729802399873734, 0.0663328543305397, 0.4533277750015259, 0.41740813851356506, 0.43054357171058655]	0.15	IGKV1	IGKJ1	5.0
6	539	[-0.36247605085372925, 0.40166571736335754, -0.5400102734565735, 0.9568857550621033, -0.22315409779548645, -0.07510683685541153, 0.6152260303497314, -0.2821928858757019, 0.00599790271371603, 0.45649614930152893]	0.15	IGKV1	IGKJ1	5.0
7	559	[-0.4099768102169037, -0.19136911630630493, 0.01483460795134306, 1.110754370689392, 0.3066725730895996, -0.09789508581161499, -0.048462074249982834, -0.2172592282295227, 0.3359997570514679, 0.04907337203621864]	0.15	IGKV1	IGKJ1	5.0
8	565	[0.09419392794370651, -0.2214105725288391, -0.38744834065437317, 0.9894383549690247, -0.26848313212394714, 0.04569089412689209, -0.08469990640878677, 0.1672377586364746, 1.1733856201171875, 0.2200184464454651]	0.15	IGKV1	IGKJ1	5.0
9	574	[-0.33141282200813293, 0.1309167593717575, 0.16075950860977173, 1.095922827720642, 0.7533201575279236, 0.21383346617221832, 0.3118930459022522, -0.06518525630235672, -0.07941622287034988, 0.03888680413365364]	0.15	IGKV1	IGKJ1	5.0
10	583	[-0.17452339828014374, 0.3045881390571594, -0.1698625534772873, 1.068956971168518, 0.029651528224349022, -0.517583429813385, 0.2639376223087311, 0.26888784766197205, 0.7056800723075867, -0.14209890365600586]	0.15	IGKV1	IGKJ1	5.0
11	584	[0.004226981662213802, 0.0005756134632974863, -0.24573177099227905, 1.2634787559509277, 0.4769948422908783, -0.018953245133161545, -0.13115954399108887, -0.594097375869751, -0.015722481533885002, 0.5050902366638184]	0.15	IGKV1	IGKJ1	5.0
